"bullet","land","x","value","id","raw_sig","se","sig"
"Bullet 1","Land 2",23.22,NA,1,NA,NA,NA
"Bullet 1","Land 2",23.865,NA,1,NA,NA,NA
"Bullet 1","Land 2",24.51,NA,1,NA,NA,NA
"Bullet 1","Land 2",25.155,NA,1,NA,NA,NA
"Bullet 1","Land 2",25.8,NA,1,NA,NA,NA
"Bullet 1","Land 2",26.445,NA,1,NA,NA,NA
"Bullet 1","Land 2",27.09,NA,1,NA,NA,NA
"Bullet 1","Land 2",27.735,NA,1,NA,NA,NA
"Bullet 1","Land 2",28.38,NA,1,NA,NA,NA
"Bullet 1","Land 2",29.025,NA,1,NA,NA,NA
"Bullet 1","Land 2",29.67,NA,1,NA,NA,NA
"Bullet 1","Land 2",30.315,NA,1,NA,NA,NA
"Bullet 1","Land 2",30.96,NA,1,NA,NA,NA
"Bullet 1","Land 2",31.605,0.257432000000002,1,NA,NA,NA
"Bullet 1","Land 2",32.25,0.840388777777782,1,NA,NA,NA
"Bullet 1","Land 2",32.895,1.42687966666667,1,NA,NA,NA
"Bullet 1","Land 2",33.54,1.67684511111111,1,NA,NA,NA
"Bullet 1","Land 2",34.185,1.67441633333334,1,NA,NA,NA
"Bullet 1","Land 2",34.83,1.595546,1,NA,NA,NA
"Bullet 1","Land 2",35.475,1.587042,1,NA,NA,NA
"Bullet 1","Land 2",36.12,1.74170255555556,1,NA,NA,NA
"Bullet 1","Land 2",36.765,1.95705155555556,1,NA,NA,NA
"Bullet 1","Land 2",37.41,2.06652555555556,1,NA,NA,NA
